"","Date","Open","High","Low","Close","Volume","Dividend","Split","Adj_Open","Adj_High","Adj_Low","Adj_Close","Adj_Volume"
"813",2015-05-07,108.4,110.7199,108.25,110.04,5399940,0,1,101.07620451,103.239365827738,100.936338913354,102.605401700004,5399940
"814",2015-05-06,108.2,108.91,107.2401,108.31,3996633,0,1,100.889717047805,101.551747538599,99.9946704729973,100.992285152012,3996633
"815",2015-05-05,109.2,109.88,107.98,108.06,4164209,0,1,101.822154358783,102.456211730248,100.68458083939,100.759175824268,4164209
"816",2015-05-04,109.94,110.4497,109.32,110.06,3366690,0,1,102.512157968906,102.987421266312,101.9340468361,102.624050446224,3366690
"817",2015-05-01,106.98,109.79,106.85,109.55,6696926,0,1,99.7521435284119,102.37229237226,99.6309266779848,102.148507417625,6696926
"818",2015-04-30,108.56,109.21,106.62,106.98,9041410,0,1,101.225394479757,101.831478731893,99.4164660964599,99.7521435284119,9041410
"819",2015-04-29,110.17,110.31,108.07,108.71,7231417,0,1,102.726618550431,102.857159773968,100.768500197378,101.365260076404,7231417
"820",2015-04-28,110.9,111.77,110.05,110.58,5743264,0,1,103.407297787445,104.218518247996,102.614726073114,103.108917847932,5743264
"821",2015-04-27,114.05,114.11,111.28,111.39,5617518,0,1,106.344475317025,106.400421555684,103.761623965617,103.864192069824,5617518
"822",2015-04-24,113.88,114.04,112.9,113.7,2879124,0,1,106.185960974159,106.335150943916,105.272172409401,106.018122258183,2879124
"823",2015-04-23,112.74,114.51,112.56,113.96,3945310,0,1,105.122982439644,106.773396480075,104.955143723668,106.260555959037,3945310
"824",2015-04-22,113.2,113.31,112.19,112.99,4065277,0,1,105.551903602694,105.654471706902,104.610141918607,105.356091767389,4065277
"825",2015-04-21,113.5,113.98,112.5,113.17,3899843,0,1,105.831634795988,106.279204705257,104.89919748501,105.523930483365,3899843
"826",2015-04-20,113,113.69,112.68,112.86,4397308,0,1,105.365416140499,106.008797885073,105.067036200986,105.234874916962,4397308
"827",2015-04-17,112.91,113.11,111.7701,112.1,6244371,0,1,105.281496782511,105.467984244706,104.218611491727,104.526222560619,6244371
"828",2015-04-16,113.34,113.99,113.02,113.37,4013015,0,1,105.682444826231,106.288529078367,105.384064886718,105.71041794556,4013015
"829",2015-04-15,114.58,115.21,113.38,113.45,4210990,0,1,106.838667091844,107.42610259776,105.71974231867,105.785012930439,4210990
